,#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
72,73,PAX Gold,"$1,873.19",-0.48%,$21.55 M,$615.5 M
73,74,Curve DAO Token,$1.19,-9.12%,$109.47 M,$588.03 M
74,75,Gala,$0.08293,+2.82%,$483.52 M,$567.83 M
75,76,Basic Attention Token,$0.3814,-8.50%,$58.86 M,$566.27 M
76,77,Green Metaverse Token,$0.9425,-8.15%,$520.05 M,$564.48 M
77,78,Kusama,$66.50,-8.32%,$66.52 M,$558.4 M
78,79,Celo,$1.25,-6.96%,$29.52 M,$558.13 M
79,80,Enjin Coin,$0.6199,-7.17%,$78.83 M,$546.33 M
80,81,Kava,$2.58,-5.12%,$63.21 M,$522.06 M
81,82,Convex Finance,$7.86,-12.53%,$12.59 M,$483.81 M
82,83,Amp,$0.01148,-4.25%,$7.59 M,$478.12 M
83,84,Gnosis,$184.72,-7.65%,$9.04 M,$476.49 M
84,85,Decred,$33.73,-6.25%,$5.45 M,$474.92 M
85,86,Harmony,$0.03953,-8.95%,$29.28 M,$473.71 M
86,87,XDC Network,$0.03759,-3.80%,$8.98 M,$462.54 M
87,88,Mina,$0.8615,-7.06%,$37.03 M,$451.35 M
88,89,NEM,$0.04939,-8.38%,$9.1 M,$444.47 M
89,90,Holo,$0.002575,-7.76%,$26.73 M,$440.53 M
90,91,Arweave,$12.95,-6.70%,$31.86 M,$424.68 M
91,92,Fei USD,$0.9916,-0.27%,$4.57 M,$421.43 M
92,93,GateToken,$5.36,-2.54%,$3.55 M,$420.03 M
93,94,1inch Network,$0.8348,-6.54%,$61.36 M,$402.82 M
94,95,Compound,$56.96,-7.32%,$67.19 M,$402.67 M
95,96,Qtum,$3.87,-8.10%,$70.84 M,$398.75 M
96,97,Bitcoin Gold,$21.48,-5.87%,$16.53 M,$376.26 M
97,98,Kadena,$1.94,-8.46%,$21.44 M,$354.21 M
98,99,ICON,$0.3843,-6.89%,$16.98 M,$350.63 M
99,100,BORA,$0.4063,-4.86%,$25.27 M,$349.94 M
100,101,Moonbeam,$1.27,-11.17%,$30.85 M,$344.65 M
101,102,OMG Network,$2.45,-8.28%,$78.6 M,$341.55 M
102,103,0x,$0.4018,-7.65%,$36.3 M,$335.93 M
103,104,Kyber Network Crystal v2,$1.85,-8.68%,$42.77 M,$328.36 M
104,105,Theta Fuel,$0.06124,-8.03%,$27.08 M,$322.23 M
105,106,Oasis Network,$0.06487,-10.24%,$84.36 M,$321.73 M
106,107,Lido DAO Token,$1.04,-7.18%,$7.86 M,$317.6 M
107,108,Symbol,$0.05612,-5.91%,$3.46 M,$313.27 M
108,109,IoTeX,$0.03317,-7.70%,$26.75 M,$312.51 M
109,110,IOST,$0.01684,-8.08%,$33.58 M,$309.38 M
110,111,Ankr,$0.03842,-7.38%,$31.68 M,$306.56 M
111,112,Bancor,$1.24,-6.73%,$23.44 M,$302.57 M
112,113,JUST,$0.04114,-6.59%,$51.61 M,$300.36 M
113,114,Synthetix,$2.59,-9.90%,$82.14 M,$294.47 M
114,115,Golem,$0.2888,-6.87%,$13.78 M,$285.95 M
115,116,Audius,$0.3941,-8.52%,$24.53 M,$281.21 M
116,117,Siacoin,$0.005517,-6.92%,$8.46 M,$279.51 M
117,118,Livepeer,$11.82,-8.69%,$27.95 M,$279.43 M
118,119,Ravencoin,$0.0267,-7.86%,$9 M,$276.33 M
119,120,SwissBorg,$0.276,-3.74%,"$426,359",$275.95 M
120,121,yearn.finance,"$7,552.26",-4.36%,$48.1 M,$271.49 M
121,122,Serum,$1.03,-7.60%,$62.34 M,$267.74 M
122,123,Polymath,$0.2959,+6.09%,$158.16 M,$263.05 M
123,124,Ontology,$0.2998,-6.67%,$31 M,$259.5 M
124,125,SXP,$0.532,-9.67%,$46.87 M,$259 M
125,126,WAX,$0.126,-7.28%,$19.53 M,$256 M
126,127,Hive,$0.5827,+1.21%,$61.91 M,$249.34 M
127,128,Gemini Dollar,$0.9986,-0.53%,$2.58 M,$246.26 M
128,129,Horizen,$19.32,-9.22%,$27.95 M,$240.91 M
129,130,Dogelon Mars,$0.0000004423,-7.86%,$13.28 M,$237.37 M
130,131,Voyager Token,$0.8427,-9.28%,$15.24 M,$234.66 M
131,132,SKALE Network,$0.06676,-7.64%,$18.82 M,$234.02 M
132,133,Immutable X,$0.9963,-5.46%,$80.18 M,$231.11 M
133,134,APENFT,$0.0000008335,-3.67%,$29.64 M,$230.94 M
134,135,Ethereum Name Service,$11.48,-9.99%,$106.99 M,$227.13 M
135,136,MXC,$0.0863,-5.39%,$6.79 M,$224.56 M
136,137,Storj,$0.5672,-8.18%,$23.8 M,$223.36 M
137,138,Secret,$1.30,-12.23%,$10.28 M,$212.84 M
138,139,Braintrust,$2.29,-4.80%,$2.16 M,$207.73 M
139,140,UMA,$3.05,-4.95%,$30.67 M,$200.2 M
140,141,renBTC,"$29,576.48",-5.63%,$8.5 M,$195.22 M
141,142,PlayDapp,$0.5401,-6.65%,$17.09 M,$193.74 M
142,143,SushiSwap,$1.51,-10.09%,$104.67 M,$190.25 M
143,144,Keep Network,$0.236,-7.71%,$1.71 M,$186.74 M
144,145,DigiByte,$0.0117,-4.62%,$8.24 M,$175.66 M
145,146,Illuvium,$270.37,-9.01%,$33.64 M,$173.4 M
146,147,Lisk,$1.34,-7.97%,$7.34 M,$172.14 M
147,148,Casper,$0.03367,-9.15%,$6.13 M,$171.18 M
148,149,Render Token,$0.6799,-11.59%,$14.41 M,$169.82 M
149,150,Trust Wallet Token,$0.5856,-6.98%,$29.17 M,$168.7 M
150,151,WOO Network,$0.1562,-8.56%,$16.47 M,$165.98 M
151,152,Rally,$0.05959,-5.73%,$2.91 M,$163.41 M
152,153,Acala Token,$0.3644,-9.10%,$9.27 M,$156.82 M
153,154,NuCypher,$0.2222,-9.41%,$18.35 M,$156.22 M
154,155,Celsius,$0.6478,-15.81%,$5.2 M,$154.73 M
155,156,MX TOKEN,$1.52,-5.05%,$10.7 M,$152.24 M
156,157,Flux,$0.6548,-6.04%,$10.87 M,$152.1 M
157,158,Nano,$1.16,-5.26%,$1.42 M,$151.85 M
158,159,Orbs,$0.05253,-2.23%,$13.95 M,$151.1 M
159,160,DigitalBits,$0.1565,-2.42%,$1.35 M,$149.89 M
160,161,MediBloc,$0.02774,-6.49%,"$136,273",$149.32 M
161,162,TerraClassicUSD,$0.01455,-11.78%,$10.48 M,$149.21 M
162,163,WINkLink,$0.0001524,-2.51%,$66.41 M,$146.57 M
163,164,Syscoin,$0.2249,-6.80%,$6.99 M,$146.45 M
164,165,Nervos Network,$0.004416,-6.74%,$1.89 M,$146.35 M
165,166,Ontology Gas,$0.4752,-18.08%,$69.56 M,$145.76 M
166,167,Powerledger,$0.3019,-9.63%,$51.81 M,$143.96 M
167,168,Ren,$0.1437,-9.03%,$30.15 M,$142.43 M
168,169,Ocean Protocol,$0.2352,-6.66%,$21.59 M,$142.09 M
169,170,Velas,$0.06154,-4.21%,$4.44 M,$141.79 M
170,171,Conflux,$0.07714,-6.96%,$5.26 M,$141.56 M
171,172,CEEK VR,$0.1759,-5.87%,$9.37 M,$140.48 M
172,173,DAO Maker,$1.98,-1.23%,$2.51 M,$140.29 M
173,174,Persistence,$1.36,-6.50%,"$589,895",$139.56 M
174,175,Status,$0.04,-8.79%,$9.3 M,$136.77 M
175,176,Pundi X (New),$0.5145,-8.92%,$65.98 M,$132.98 M
176,177,Chromia,$0.228,-6.07%,$23.26 M,$127.58 M
177,178,Cartesi,$0.2256,-1.20%,$37.61 M,$126.76 M
178,179,Coin98,$0.6909,-1.45%,$99.53 M,$126.22 M
179,180,Chia,$31.78,-5.02%,$5.92 M,$124.89 M
180,181,Ardor,$0.1258,-9.00%,$5.9 M,$124.42 M
181,182,Celer Network,$0.01806,-9.23%,$22.33 M,$124.22 M
182,183,Wirex Token,$0.01238,-0.54%,$1.55 M,$123.81 M
183,184,Dent,$0.001232,-6.25%,$29.57 M,$122 M
184,185,Civic,$0.1811,-6.17%,$21.93 M,$121.31 M
185,186,Request,$0.1223,-4.95%,$7.95 M,$120.61 M
186,187,COTI,$0.1161,-9.93%,$17.47 M,$120.54 M
187,188,XYO,$0.009138,-2.50%,$1.73 M,$115.77 M
188,189,Telcoin,$0.001882,-8.80%,$1.67 M,$115.32 M
189,190,Ellipsis,$0.1553,-16.49%,$2.06 M,$112.38 M
190,191,OriginTrail,$0.3067,-8.39%,$1.12 M,$112.01 M
191,192,Spell Token,$0.001241,-6.24%,$20.99 M,$111.77 M
192,193,Ultra,$0.3634,-5.48%,$1.47 M,$110.28 M
193,194,dYdX,$1.69,-8.11%,$69.89 M,$108.79 M
194,195,Injective,$1.92,-8.91%,$13.79 M,$107.97 M
195,196,Metal,$1.62,+2.28%,$128.8 M,$107.88 M
196,197,Fetch.ai,$0.1439,-8.00%,$27.52 M,$106.62 M
197,198,Steem,$0.267,-9.86%,$20.03 M,$105.45 M
198,199,ConstitutionDAO,$0.02074,-13.15%,$181.13 M,$104.89 M
199,200,Augur,$9.57,-7.82%,$24.12 M,$104.38 M
200,201,HEX,$0.05484,-7.94%,$14.23 M,$9.51 B
201,202,Wrapped TRON,$0.08009,-4.75%,$2.47 M,$8.14 B
202,203,Lido stETH,"$1,710.18",-8.21%,"$981,613",$5.96 B
203,203,EarnX,$0.0008406,"+395,775.94%","$219,230",$5.79 B
204,204,yOUcash,$0.5002,-0.02%,$1.05 M,$4.21 B
205,205,Bitcoin BEP2,"$29,469.35",-6.11%,$33.2 M,$3.1 B
206,206,Chain,$0.1617,-0.20%,$96.33 M,$2.74 B
207,207,Toncoin,$1.27,-3.44%,$1.36 M,$1.55 B
208,208,Frax,$0.9984,-0.41%,$26.26 M,$1.47 B
209,209,Wrapped BNB,$278.83,-10.11%,$443.11 M,$1.45 B
210,210,Huobi BTC,"$29,410.68",-6.54%,"$327,200",$1.15 B
211,211,BitTorrent (Old),$0.001136,-9.49%,"$25,352",$1.12 B
212,212,DeFiChain,$2.05,-5.35%,$8.21 M,$1.05 B
213,213,Venus BNB,$9.44,+0.69%,N/A,$796.45 M
214,213,Liquity USD,$1.00,-0.52%,$34.22 M,$721.13 M
215,214,Safe,$26.22,-2.18%,"$459,524",$546.34 M
216,215,Luna Classic,$0.0000755,-15.37%,$127.69 M,$471.07 M
217,216,Tether Gold,"$1,850.74",+0.08%,$5.43 M,$456.25 M
218,217,Fruits,$0.02012,-0.35%,$5 M,$423.78 M
219,218,WEMIX,$3.36,-10.04%,$73.29 M,$411.32 M
220,219,Threshold,$0.05002,-8.73%,$21.49 M,$407.29 M
221,220,Sapphire,$0.7521,-5.77%,"$78,771",$404.33 M
222,221,The Transfer Token,$3.46,+0.80%,"$485,734",$377.93 M
223,221,ECOMI,$0.003031,+6.99%,$3.99 M,$503.97 M
224,222,HUSD,$0.997,-0.21%,$23.74 M,$371.09 M
225,223,NXM,$56.95,-8.06%,"$1,015",$371.07 M
226,224,Counos X,$19.61,-0.03%,"$283,299",$351.29 M
227,225,BitDAO,$0.5476,-4.54%,$47.28 M,$321.03 M
228,226,Osmosis,$1.12,-10.33%,$12.07 M,$316.31 M
229,227,LINK,$50.55,-7.66%,"$480,972",$302.08 M
230,228,BinaryX,$126.60,-1.41%,$42.6 M,$256.1 M
231,229,Everscale,$0.2029,-3.61%,$14.34 M,$250.03 M
232,230,Astar,$0.06152,-5.75%,$17.61 M,$205.42 M
233,231,Bitpanda Ecosystem Token,$0.5527,-1.07%,"$21,282",$195.16 M
234,232,Humanscape,$0.2341,-5.00%,$5.68 M,$185.25 M
235,233,Chainbing,$5.25,-4.31%,$1.4 M,$173.16 M
236,234,Metacraft,$3.16,-8.78%,$6.96 M,$166.53 M
237,235,Rocket Pool,$15.36,-10.15%,"$924,041",$157.86 M
238,236,PlatonCoin,$1.36,+3.03%,"$752,844",$155.07 M
239,237,KOK,$1.41,-12.64%,$9.72 M,$151.52 M
240,238,TitanSwap,$2.81,-5.66%,"$731,592",$150.28 M
241,239,LooksRare,$0.3288,-18.69%,$33.43 M,$149.34 M
242,240,Radio Caca,$0.000486,-5.77%,$17.77 M,$146.23 M
243,241,MobileCoin,$1.96,-4.72%,$1.46 M,$145.56 M
244,242,MVL,$0.006305,-6.06%,$2.22 M,$145.21 M
245,243,Mirrored ProShares VIX,$106.15,+0.00%,N/A,$233.97 M
246,243,Project Galaxy,$4.19,-10.13%,$125.13 M,$144.03 M
247,244,VVS Finance,$0.000007963,-7.58%,$1.23 M,$141.62 M
248,245,Wrapped Velas,$0.06184,-2.46%,N/A,$140.94 M
249,246,STASIS EURO,$1.06,-0.47%,$22.65 M,$132.06 M
250,247,Maple,$28.61,+2.82%,$2.35 M,$126.38 M
251,248,inSure DeFi,$0.004687,-7.62%,"$895,722",$125.56 M
252,249,Pirate Chain,$0.6229,-7.48%,"$415,225",$120.04 M
253,250,AVINOC,$0.308,-0.65%,$2.71 M,$119.9 M
254,251,XSGD,$0.719,-1.12%,"$146,836",$114.55 M
255,252,Biswap,$0.5137,-10.14%,$38.49 M,$113.26 M
256,253,Hyperion,$0.5533,-10.03%,$0.553,$112.75 M
257,254,1eco,$4.09,+0.00%,N/A,$108.03 M
258,255,XCAD Network,$4.43,+10.89%,$12.66 M,$107.65 M
259,256,Sologenic,$0.2663,-1.26%,"$187,894",$106.49 M
260,257,Function X,$0.2541,-7.33%,"$421,095",$103.8 M
261,258,Tribe,$0.2327,-1.34%,$3.07 M,$103.47 M
262,259,Divi,$0.03546,-2.35%,"$265,726",$103.22 M
263,260,Reserve Rights,$0.007061,-6.82%,$23.56 M,$103.11 M
264,261,Venus USDC,$0.02154,-0.00%,N/A,$102.76 M
265,262,USDX [Kava],$0.8336,-11.70%,"$496,454",$100.99 M
266,263,Origin Protocol,$0.2598,-10.74%,$73.97 M,$99.96 M
267,264,StormX,$0.009833,-7.63%,$11.5 M,$98.33 M
268,265,Constellation,$0.07731,-6.89%,"$754,976",$97.95 M
269,266,FUNToken,$0.008895,-2.72%,$3.38 M,$97.64 M
270,267,Raydium,$0.8595,-9.71%,$23.88 M,$96.99 M
271,268,Sun (New),$0.009213,-6.45%,$36.73 M,$96.87 M
272,269,sUSD,$0.9992,-0.46%,$38.61 M,$96.64 M
273,270,Biconomy,$0.6809,-10.07%,$14.29 M,$96.47 M
274,271,Hxro,$0.2283,-1.51%,"$83,151",$96.41 M
275,272,Creditcoin,$0.4648,-6.21%,$2.68 M,$96.33 M
276,273,Vulcan Forged PYR,$4.09,-8.07%,$14.88 M,$96.21 M
277,274,ASD,$0.1449,-0.95%,$1.91 M,$95.72 M
278,275,aelf,$0.1782,-7.22%,$28.22 M,$95.67 M
279,276,MetisDAO,$22.05,-14.31%,$16.4 M,$95.62 M
280,277,WazirX,$0.2502,-5.90%,$3.84 M,$95.56 M
281,278,Moonriver,$20.19,-7.96%,$9.11 M,$92.62 M
282,279,RSK Smart Bitcoin,"$29,324.87",-6.19%,"$207,026",$92.4 M
283,280,ABBC Coin,$0.0928,-1.90%,$18.11 M,$92.25 M
284,281,Locus Chain,$0.1045,-4.28%,$1.35 M,$91.92 M
285,282,DEAPcoin,$0.01787,-4.41%,$8.02 M,$91.36 M
286,283,MaidSafeCoin,$0.2,+16.76%,"$8,538",$90.49 M
287,284,Anyswap,$4.80,-7.21%,"$702,124",$89.55 M
288,285,Orchid,$0.1293,-4.55%,$22.45 M,$88.1 M
289,286,Revain,$0.001033,-1.80%,$1.11 M,$87.84 M
290,287,Bitcoin Standard Hashrate Token,$7.13,-6.89%,$3.84 M,$87.04 M
291,288,Mdex,$0.09682,-5.51%,$2.78 M,$86.8 M
292,289,Alien Worlds,$0.03311,-8.67%,$66.64 M,$86.47 M
293,290,HedgeTrade,$0.2479,-8.06%,"$7,057",$86.45 M
294,290,Venus BTC,$871.54,-2.44%,N/A,$179.39 M
295,291,Stratis,$0.6299,-5.95%,$7.83 M,$86.18 M
296,292,NEST Protocol,$0.02935,-3.41%,$4.46 M,$85.46 M
297,293,Utrust,$0.1816,-4.82%,$5.67 M,$85.37 M
298,294,Decentralized Social,$9.56,-5.83%,"$263,892",$84.89 M
299,295,Dawn Protocol,$1.15,-7.83%,$2.11 M,$84.5 M
300,296,VeThor Token,$0.001876,-7.09%,$3.13 M,$84.34 M
301,297,QuarkChain,$0.01316,-6.76%,$5.79 M,$84.21 M
302,298,Mines of Dalarnia,$0.4094,-7.84%,$52.27 M,$84.17 M
303,299,Perpetual Protocol,$1.11,-10.62%,$13.54 M,$83.7 M
304,300,Metadium,$0.04953,-7.87%,$3.71 M,$83.57 M
305,301,MyNeighborAlice,$2.75,-8.68%,$116.12 M,$83.21 M
306,302,Strike,$25.90,-5.66%,$6.46 M,$82.93 M
307,303,Reef,$0.004316,-7.18%,$24.28 M,$82.68 M
308,304,Energy Web Token,$2.74,-2.88%,"$657,023",$82.29 M
309,305,Standard Tokenization Protocol,$0.05276,-8.28%,$14.33 M,$81.82 M
310,306,Frax Share,$5.09,-14.19%,$18.88 M,$81.05 M
311,307,Freeway Token,$0.01479,-6.80%,$1.27 M,$80.68 M
312,308,Liquity,$1.11,-8.58%,"$914,688",$80.24 M
313,309,Ark,$0.5884,-8.69%,$7.87 M,$80.17 M
314,310,Uquid Coin,$7.96,-4.95%,$4.39 M,$79.61 M
315,311,SOMESING,$0.03,-7.17%,$3.09 M,$79.57 M
316,312,Rakon,$0.3244,-7.94%,"$20,003",$78.79 M
317,313,JOE,$0.2871,-12.84%,$5.62 M,$77.8 M
318,314,SuperFarm,$0.1933,-8.95%,$9.13 M,$77 M
319,315,Ergo,$2.39,-3.93%,$2.09 M,$76.61 M
320,316,Centrifuge,$0.2893,-7.68%,"$162,379",$76.39 M
321,317,Verge,$0.004627,-9.31%,$1.7 M,$76.36 M
322,318,Aavegotchi,$1.50,-1.71%,$26.92 M,$76.21 M
323,319,Propy,$1.02,-7.96%,$2.17 M,$76.05 M
324,320,WhiteCoin,$0.1021,+1.63%,$3.91 M,$76.01 M
325,321,Rari Governance Token,$6.09,-11.50%,"$336,081",$75.94 M
326,322,Bifrost (BFC),$0.06809,-6.04%,"$826,171",$75.6 M
327,323,Aurora,$2.24,-15.93%,$15.28 M,$75.58 M
328,324,RSK Infrastructure Framework,$0.0886,-3.68%,$2.57 M,$75.39 M
329,325,Dero,$5.95,-6.43%,"$157,816",$74.85 M
330,326,LUKSO,$4.92,-7.72%,$1.17 M,$74.81 M
331,327,Klever,$0.02181,+3.17%,$2.95 M,$74.11 M
332,328,Hoo Token,$0.8952,-1.08%,$3 M,$73.79 M
333,329,MovieBloc,$0.005486,-6.05%,$44.34 M,$73.63 M
334,330,Radicle,$2.38,+7.44%,$23.81 M,$73.13 M
335,331,Loom Network,$0.05595,-7.07%,$3.69 M,$72.73 M
336,332,Bridge Oracle,$0.00902,-12.26%,"$98,064",$72.18 M
337,333,Orbit Chain,$0.1181,-5.22%,"$369,295",$71.28 M
338,334,Telos,$0.2614,-5.22%,$10.25 M,$70.6 M
339,335,Aragon,$1.78,-6.09%,$24.5 M,$70.4 M
340,336,Badger DAO,$5.71,-7.45%,$3.99 M,$70.31 M
341,337,Sport and Leisure,$0.1035,-6.09%,N/A,$70.27 M
342,338,World Mobile Token,$0.2857,-7.61%,$1.55 M,$69.7 M
343,339,Prometeus,$4.19,-6.71%,$1.62 M,$68.91 M
344,340,Alchemy Pay,$0.01505,-3.73%,$10.16 M,$68.32 M
345,341,MOBOX,$0.8548,-9.49%,$30.13 M,$68.26 M
346,342,Venus ETH,$68.96,+3.02%,N/A,$140.26 M
347,342,ssv.network,$6.78,-6.20%,"$335,630",$67.79 M
348,343,Numeraire,$11.66,-5.41%,$4.05 M,$67.72 M
349,344,Origin Dollar,$0.9985,-0.26%,"$46,132",$67.63 M
350,345,Metahero,$0.01321,-8.70%,$4.99 M,$66.58 M
351,346,Boba Network,$0.4179,-8.65%,$3.09 M,$66.55 M
352,347,GensoKishi Metaverse,$0.5995,-4.48%,$1.45 M,$66.5 M
353,348,iExec RLC,$0.8385,-10.60%,$5.08 M,$66.46 M
354,349,ZEON,$0.002171,+0.17%,"$411,121",$66.27 M
355,350,Yield Guild Games,$0.5693,-11.05%,$12.34 M,$64.67 M
356,350,Decentral Games [Old],$318.84,+2.43%,"$108,134",$110.54 M
357,351,Alpha Finance Lab,$0.1474,-7.93%,$21.05 M,$64.42 M
358,352,Veritaseum,$29.71,-6.19%,$735,$63.86 M
359,353,Adshares,$2.31,-4.64%,$1.47 M,$63.46 M
360,354,SingularityNET,$0.06021,-8.43%,$3.42 M,$63.26 M
361,355,HI,$0.1255,+2.51%,$2.17 M,$63.21 M
362,356,dKargo,$0.06192,-6.95%,$4.91 M,$63.02 M
363,357,GlitzKoin,$0.2541,+0.05%,$2.32 M,$62.88 M
364,358,CertiK,$0.7794,-4.21%,$9.75 M,$62.59 M
365,359,NKN,$0.08926,-10.39%,$2.97 M,$61.77 M
366,360,Mrweb Finance,$0.006133,-8.40%,$2.11 M,$61.31 M
367,361,Everipedia,$0.006147,-6.36%,$6.23 M,$61.07 M
368,362,HUNT,$0.549,-4.79%,$18.45 M,$60.59 M
369,363,ZB Token,$0.1304,-4.39%,"$233,993",$60.41 M
370,364,Celo Dollar,$0.9946,-0.11%,"$283,179",$60.3 M
371,365,Anchor Protocol,$0.1701,-13.00%,$46.63 M,$59.6 M
372,366,KardiaChain,$0.01666,-4.18%,"$759,841",$59.35 M
373,367,Electroneum,$0.003296,-8.46%,"$78,694",$59.07 M
374,368,BakeryToken,$0.3072,-12.09%,$63.45 M,$58.83 M
375,369,cVault.finance,"$5,827.14",-5.80%,"$33,914",$58.27 M
376,370,ThunderCore,$0.00641,-6.02%,$8.37 M,$58.27 M
377,371,Venus BUSD,$0.02157,+0.03%,N/A,$58.13 M
378,372,e-Radix,$0.0784,-3.15%,"$751,236",$57.61 M
379,373,Aergo,$0.1591,-7.92%,$5.1 M,$57.5 M
380,374,CENNZnet,$0.04775,-6.35%,"$455,669",$57.3 M
381,375,Ampleforth,$0.9909,-5.81%,$1.42 M,$56.46 M
382,376,Band Protocol,$1.62,-9.58%,$21.34 M,$56.34 M
383,377,Dusk Network,$0.1406,-6.09%,$2.87 M,$56.21 M
384,378,JasmyCoin,$0.01194,-4.43%,$137.03 M,$56.1 M
385,379,Enzyme,$27.05,-4.47%,$2.86 M,$55.8 M
386,380,Cratos,$0.001577,-2.22%,$6.38 M,$55.21 M
387,381,EFFORCE,$0.1032,-3.96%,"$723,052",$54.39 M
388,382,Neutrino Token,$19.99,-1.30%,"$44,525",$54.39 M
389,383,Darma Cash,$0.2499,-0.00%,N/A,$54.37 M
