#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
77,Enjin Coin,$0.5927,-9.45%,$63.07 M,$517.1 M
78,Kusama,$60.96,-11.56%,$67.34 M,$507.39 M
79,Celo,$1.13,-10.75%,$44.57 M,$504.87 M
80,Kava,$2.39,-8.40%,$50.61 M,$487.51 M
81,Gala,$0.07132,-9.17%,$210.73 M,$487.37 M
82,Amp,$0.01121,-2.81%,$5.47 M,$463.04 M
83,Gnosis,$178.52,-5.86%,$5.49 M,$460.06 M
84,Decred,$32.20,-5.72%,$2.27 M,$455.28 M
85,XDC Network,$0.03626,-2.47%,$7.94 M,$446.88 M
86,Harmony,$0.03705,-9.89%,$25.3 M,$443.14 M
87,NEM,$0.04686,-7.97%,$8.67 M,$423.39 M
88,Fei USD,$0.9336,-5.95%,$5.04 M,$422.59 M
89,GateToken,$5.39,-2.07%,$3.14 M,$422.43 M
90,Arweave,$12.88,-7.28%,$16.24 M,$422.32 M
91,Mina,$0.7835,-8.69%,$24 M,$413.74 M
92,Holo,$0.002382,-6.48%,$29.16 M,$407.15 M
93,Convex Finance,$6.51,-15.61%,$8.93 M,$403.36 M
94,1inch Network,$0.7702,-6.74%,$56.25 M,$401.71 M
95,Qtum,$3.72,-8.30%,$65.1 M,$382.95 M
96,Bitcoin Gold,$21.11,-2.67%,$27.73 M,$370.22 M
97,Compound,$52.26,-8.53%,$47.51 M,$368.03 M
98,OMG Network,$2.53,-8.84%,$72.8 M,$350.7 M
99,Moonbeam,$1.22,-7.09%,$27.97 M,$332.01 M
100,BORA,$0.3705,-6.62%,$27.46 M,$325.78 M
101,Kadena,$1.78,-10.25%,$23.26 M,$322.93 M
102,ICON,$0.3576,-9.35%,$9.51 M,$322.6 M
103,Lido DAO Token,$1.04,-0.81%,$12.67 M,$318.12 M
104,Oasis Network,$0.06337,-6.96%,$57.35 M,$313.62 M
105,Kyber Network Crystal v2,$1.77,-7.66%,$31.8 M,$312.26 M
106,Symbol,$0.05457,-3.98%,$2.21 M,$305.44 M
107,0x,$0.3677,-9.52%,$29.04 M,$305.21 M
108,IoTeX,$0.03249,-7.97%,$29.08 M,$304.86 M
109,Theta Fuel,$0.0577,-11.23%,$24.13 M,$304.09 M
110,IOST,$0.01622,-6.11%,$21.08 M,$296.11 M
111,Bancor,$1.23,-7.51%,$17.2 M,$294.14 M
112,Ankr,$0.03561,-10.01%,$22.94 M,$286.32 M
113,JUST,$0.03927,-5.76%,$83.26 M,$286.24 M
114,Audius,$0.4019,-8.25%,$18.3 M,$285.56 M
115,Synthetix,$2.54,-9.80%,$42.73 M,$285.42 M
116,Gemini Dollar,$1.00,-0.10%,$3.81 M,$276.65 M
117,Golem,$0.2762,-7.06%,$9.15 M,$272.54 M
118,SwissBorg,$0.2723,-3.78%,"$619,806",$271.33 M
119,Livepeer,$11.34,-8.92%,$31.01 M,$268.51 M
120,Ravencoin,$0.02588,-8.14%,$10.07 M,$266.76 M
121,yearn.finance,"$7,167.06",-7.71%,$47.03 M,$258.36 M
122,Siacoin,$0.005076,-9.53%,$11.23 M,$255.87 M
123,APENFT,$0.0000009081,-1.95%,$71.5 M,$252.04 M
124,Serum,$0.9608,-11.52%,$56.93 M,$248.97 M
125,Ontology,$0.2804,-9.34%,$21.05 M,$242.51 M
126,SKALE Network,$0.06674,-11.48%,$25.68 M,$233.22 M
127,SXP,$0.4776,-11.53%,$46.24 M,$232.74 M
128,WAX,$0.1127,-10.81%,$12.4 M,$228.63 M
129,Horizen,$17.79,-9.84%,$20.31 M,$222.14 M
130,Dogelon Mars,$0.0000004071,-8.21%,$9.04 M,$217.28 M
131,Braintrust,$2.38,+1.64%,$2.41 M,$215.56 M
132,Hive,$0.5035,-7.71%,$6.68 M,$215.24 M
133,MXC,$0.08257,-4.27%,$7.72 M,$214.07 M
134,Ethereum Name Service,$10.83,-10.93%,$87.28 M,$213.43 M
135,Polymath,$0.2384,-8.00%,$23.08 M,$212.17 M
136,Immutable X,$0.9139,-8.71%,$65.67 M,$211.01 M
137,Secret,$1.27,-3.38%,$9.73 M,$208.06 M
138,Voyager Token,$0.7413,-9.44%,$4.73 M,$207.1 M
139,PlayDapp,$0.4924,-10.92%,$22.3 M,$205.1 M
140,Storj,$0.5215,-10.79%,$18.59 M,$203.31 M
141,renBTC,"$29,112.67",-4.01%,$2.39 M,$193.57 M
142,UMA,$2.89,-7.81%,$29.27 M,$189.61 M
143,Trust Wallet Token,$0.6293,-1.16%,$25.34 M,$181.48 M
144,Keep Network,$0.2253,-7.66%,$1.44 M,$177.14 M
145,DigiByte,$0.01162,-6.80%,$14.51 M,$177.04 M
146,SushiSwap,$1.40,-9.19%,$78.74 M,$175.18 M
147,Ocean Protocol,$0.2785,-9.86%,$61.2 M,$167.82 M
148,Casper,$0.033,-5.04%,$3.54 M,$165.82 M
149,Illuvium,$255.86,-6.91%,$15.46 M,$163.94 M
150,WOO Network,$0.1499,-11.26%,$18.68 M,$159.09 M
151,Render Token,$0.6345,-10.50%,$9.35 M,$157.81 M
152,MX TOKEN,$1.58,-1.33%,$10.47 M,$157.61 M
153,Lisk,$1.23,-10.15%,$4.3 M,$157.06 M
154,Rally,$0.05608,-6.66%,$1.15 M,$154.02 M
155,Acala Token,$0.347,-6.52%,$9.11 M,$149.35 M
156,Conflux,$0.07368,-6.01%,$2.64 M,$145.17 M
157,Orbs,$0.05038,-5.43%,$2.96 M,$144.33 M
158,NuCypher,$0.2045,-8.34%,$10.13 M,$143.74 M
159,Persistence,$1.39,+0.88%,"$324,520",$142.88 M
160,MediBloc,$0.02572,-7.43%,"$99,008",$142.1 M
161,Flux,$0.6036,-9.16%,$16.67 M,$140.49 M
162,Nano,$1.07,-6.62%,$2.43 M,$140.39 M
163,WINkLink,$0.0001459,-3.95%,$69.6 M,$140.29 M
164,Syscoin,$0.214,-13.41%,$8.28 M,$139.67 M
165,Powerledger,$0.2875,-0.84%,$57.95 M,$137.4 M
166,Nervos Network,$0.004102,-7.97%,$2.05 M,$135.81 M
167,Ren,$0.1371,-12.99%,$31.25 M,$134.68 M
168,DAO Maker,$1.89,-3.14%,$2.72 M,$134.54 M
169,Velas,$0.05654,-7.30%,$3.68 M,$131.71 M
170,Ontology Gas,$0.4228,-7.58%,$8.53 M,$129.74 M
171,CEEK VR,$0.1619,-6.52%,$8.18 M,$129.74 M
172,Cartesi,$0.2287,-3.48%,$40.62 M,$128.53 M
173,Status,$0.03723,-7.53%,$4.31 M,$126.97 M
174,COTI,$0.1236,-8.56%,$29.93 M,$126.84 M
175,Reserve Rights,$0.008847,+5.85%,$69.63 M,$126.32 M
176,Pundi X (New),$0.4787,-8.11%,$18.87 M,$124.38 M
177,Coin98,$0.6807,-8.22%,$74.55 M,$123.13 M
178,Chromia,$0.2204,-8.19%,$21.43 M,$123.12 M
179,Ellipsis,$0.1662,-5.67%,$2.07 M,$120.26 M
180,Chia,$29.90,-4.78%,$5.11 M,$117.41 M
181,DigitalBits,$0.1228,-15.41%,$1.08 M,$117.18 M
182,Request,$0.1204,-5.59%,$5.8 M,$116.55 M
183,Ardor,$0.1171,-6.82%,$3.35 M,$116.46 M
184,Metal,$1.72,-11.59%,$137.43 M,$114.76 M
185,Celer Network,$0.01684,-11.41%,$21.31 M,$114.55 M
186,Dent,$0.001149,-8.13%,$15.06 M,$114.21 M
187,Injective,$2.03,-8.96%,$51.6 M,$113.5 M
188,Celsius,$0.4761,-29.30%,$8.66 M,$113.29 M
189,Wirex Token,$0.01126,-4.03%,"$914,621",$112.57 M
190,Civic,$0.1677,-9.29%,$22.6 M,$112.39 M
191,Telcoin,$0.00181,-6.97%,$1.5 M,$111.09 M
192,Fetch.ai,$0.1482,-9.86%,$26.08 M,$109.26 M
193,Ultra,$0.3563,-5.83%,$1.49 M,$108.14 M
194,dYdX,$1.64,-6.75%,$122.44 M,$105.07 M
195,XYO,$0.008166,-6.46%,$2.35 M,$104.39 M
196,OriginTrail,$0.2834,-7.20%,$1.1 M,$103.48 M
197,Sun (New),$0.009645,+1.32%,$71.39 M,$101.41 M
198,Tribe,$0.2261,-3.14%,$4.5 M,$101.12 M
199,Function X,$0.2475,-4.06%,"$708,130",$101.1 M
200,Spell Token,$0.001113,-8.99%,$18.54 M,$100.89 M
201,HEX,$0.04864,-11.44%,$9.95 M,$8.43 B
202,Wrapped TRON,$0.0792,-2.59%,$1.27 M,$8.05 B
203,Lido stETH,"$1,599.90",-8.69%,$6.65 M,$5.58 B
203,EarnX,$0.0008406,"+395,775.94%","$219,230",$5.79 B
204,yOUcash,$0.5002,-0.02%,"$841,909",$4.21 B
205,Chain,$0.154,-6.43%,$118.15 M,$3.31 B
206,Bitcoin BEP2,"$29,105.26",-3.98%,$24.29 M,$3.06 B
207,Toncoin,$1.25,-3.70%,$1.14 M,$1.53 B
208,Frax,$0.9986,-0.18%,$20.57 M,$1.49 B
209,Wrapped BNB,$284.78,-2.28%,$316.65 M,$1.45 B
210,BitTorrent (Old),$0.001308,-7.08%,"$8,935",$1.3 B
211,Huobi BTC,"$29,078.41",-3.98%,"$640,532",$1.13 B
212,DeFiChain,$1.96,-5.36%,$6.44 M,$1 B
213,Venus BNB,$9.44,+0.69%,N/A,$796.45 M
213,Liquity USD,$1.00,-0.03%,$9.88 M,$721.8 M
214,Safe,$23.83,-1.48%,"$309,055",$496.58 M
215,Tether Gold,"$1,871.25",+1.15%,$5.19 M,$461.31 M
216,Luna Classic,$0.00007358,-4.04%,$353.71 M,$459.88 M
217,Fruits,$0.02104,-0.01%,$4.33 M,$443.27 M
218,Osmosis,$1.56,+44.70%,"$156,786",$440.38 M
219,WEMIX,$3.46,+10.45%,$311.99 M,$420.21 M
220,Threshold,$0.04849,-7.66%,$13.48 M,$394.19 M
221,The Transfer Token,$3.38,-4.70%,"$362,864",$369.25 M
221,ECOMI,$0.003031,+6.99%,$3.99 M,$503.97 M
222,Counos X,$19.95,+0.01%,"$393,990",$357.41 M
223,NXM,$54.73,-6.60%,"$75,706",$356.52 M
224,HUSD,$1.00,+0.16%,$11.38 M,$344.92 M
225,BitDAO,$0.5418,-0.67%,$38.93 M,$317.65 M
226,LINK,$48.08,-4.74%,"$374,455",$287.33 M
227,BinaryX,$126.70,-2.32%,$25.98 M,$256.3 M
228,Everscale,$0.189,-6.67%,$14.52 M,$232.94 M
229,Chainbing,$5.91,+9.33%,$1.54 M,$194.91 M
230,Astar,$0.05524,-11.04%,$14.5 M,$183.35 M
231,Bitpanda Ecosystem Token,$0.5071,-2.52%,"$45,750",$179.07 M
232,Humanscape,$0.2162,-7.33%,$4.19 M,$171.11 M
233,Metacraft,$3.16,+1.75%,$8 M,$166.28 M
234,KOK,$1.54,-2.62%,$7.81 M,$165.16 M
235,TitanSwap,$3.02,+0.93%,$2.5 M,$161.2 M
236,Rocket Pool,$14.68,-8.58%,"$757,618",$150.88 M
237,MVL,$0.005998,-7.35%,$2.14 M,$140.5 M
238,Radio Caca,$0.0004589,-4.09%,$18.75 M,$138.29 M
239,VVS Finance,$0.000007483,-6.49%,$1.53 M,$136.68 M
240,PlatonCoin,$1.19,-1.67%,"$408,600",$135.67 M
241,LooksRare,$0.2942,-3.96%,$21.97 M,$134.26 M
242,Locus Chain,$0.1511,+45.80%,$2.47 M,$132.9 M
243,STASIS EURO,$1.05,-1.22%,$23.96 M,$130.31 M
243,Mirrored ProShares VIX,$106.15,+0.00%,N/A,$233.97 M
244,Wrapped Velas,$0.05693,-6.67%,N/A,$129.75 M
245,Maple,$28.28,-3.42%,$2.19 M,$124.96 M
246,MobileCoin,$1.67,-13.26%,$2.96 M,$123.64 M
247,Mrweb Finance,$0.0122,+37.90%,$1.03 M,$121.99 M
248,Project Galaxy,$3.51,-12.12%,$122.41 M,$121.4 M
249,XCAD Network,$4.77,-4.86%,$14.94 M,$115.93 M
250,inSure DeFi,$0.004279,-11.96%,$1.04 M,$114.65 M
251,Pirate Chain,$0.586,-4.52%,"$206,871",$112.97 M
252,AVINOC,$0.2874,-2.66%,$2.6 M,$111.86 M
253,USDX [Kava],$0.8867,-3.74%,"$393,361",$109.67 M
254,1eco,$4.08,-0.10%,"$85,620",$107.92 M
255,Sologenic,$0.2669,-0.84%,"$254,702",$106.76 M
256,XSGD,$0.7052,-2.34%,"$599,212",$105.16 M
257,Biswap,$0.4694,-7.06%,$20.69 M,$103.51 M
258,Venus USDC,$0.02155,+0.03%,N/A,$102.81 M
259,DEAPcoin,$0.0182,+3.07%,$5.71 M,$102.23 M
260,ConstitutionDAO,$0.01993,-7.29%,$77.37 M,$100.81 M
261,Steem,$0.2537,-6.06%,$10.56 M,$100.18 M
262,TerraClassicUSD,$0.009603,-7.59%,$26.6 M,$99.64 M
263,Vulcan Forged PYR,$4.14,-8.89%,$11.74 M,$97.36 M
264,Creditcoin,$0.468,-0.35%,$2.76 M,$96.99 M
265,Augur,$8.92,-6.30%,$20.8 M,$96.6 M
266,FUNToken,$0.008761,-3.07%,$3.25 M,$96.17 M
267,Divi,$0.03287,-3.68%,"$183,847",$95.81 M
268,Hxro,$0.2257,-0.57%,"$101,459",$95.28 M
269,Origin Protocol,$0.2484,-11.13%,$62.2 M,$95.13 M
270,NEST Protocol,$0.03256,-1.52%,$5.18 M,$94.8 M
271,Frax Share,$5.83,-10.21%,$15.1 M,$92.87 M
272,ASD,$0.1405,-0.66%,$2.01 M,$92.83 M
273,Raydium,$0.8209,-10.83%,$27.71 M,$92 M
274,MetisDAO,$20.96,-9.74%,$20.73 M,$90.91 M
275,Anyswap,$4.86,-1.70%,"$632,207",$90.58 M
276,ABBC Coin,$0.09095,-0.69%,$17.6 M,$90.45 M
277,RSK Smart Bitcoin,"$28,963.01",-4.13%,"$113,368",$90.09 M
278,Biconomy,$0.6314,-8.38%,$13.73 M,$89.71 M
279,WazirX,$0.2348,-5.00%,$4.91 M,$89.61 M
280,Energy Web Token,$2.95,-7.17%,$1.06 M,$88.6 M
281,StormX,$0.00878,-10.03%,$7.48 M,$87.8 M
282,aelf,$0.1631,-8.98%,$12.13 M,$87.37 M
283,MaidSafeCoin,$0.193,-4.45%,"$9,217",$87.34 M
284,Mdex,$0.09705,-3.81%,$1.52 M,$87.06 M
285,Moonriver,$19.00,-9.05%,$9.03 M,$86.79 M
286,Decentralized Social,$9.72,-3.23%,"$481,598",$86.34 M
287,VeThor Token,$0.001929,-2.00%,$19.19 M,$85.94 M
288,Orchid,$0.1248,-6.34%,$21.75 M,$84.92 M
289,Constellation,$0.06826,-13.75%,"$955,532",$84.91 M
290,Venus BTC,$871.54,-2.44%,N/A,$179.39 M
290,Bitcoin Standard Hashrate Token,$6.95,-5.55%,$2.11 M,$84.75 M
291,Utrust,$0.18,-4.73%,$6.97 M,$84.62 M
292,Revain,$0.0009889,-4.83%,$1.08 M,$84.5 M
293,Alien Worlds,$0.0322,-12.68%,$44.12 M,$84.1 M
294,sUSD,$0.9993,-0.14%,$11.07 M,$83.19 M
295,MyNeighborAlice,$2.72,-9.58%,$100.07 M,$81.98 M
296,Mines of Dalarnia,$0.3983,-7.63%,$41.23 M,$81.71 M
297,Dawn Protocol,$1.09,-8.52%,$1.84 M,$79.72 M
298,Stratis,$0.5831,-8.50%,$3.63 M,$79.67 M
299,Standard Tokenization Protocol,$0.05083,-1.39%,$49.91 M,$78.82 M
300,Metadium,$0.04671,-6.89%,$2.87 M,$78.81 M
301,Uquid Coin,$7.86,-4.00%,$4.21 M,$78.64 M
302,Bridge Oracle,$0.009755,+5.10%,"$112,261",$78.06 M
303,Strike,$24.30,-7.08%,$2.78 M,$77.88 M
304,HedgeTrade,$0.2232,-4.24%,"$6,723",$77.83 M
305,Reef,$0.004079,-6.38%,$17.2 M,$77.82 M
306,QuarkChain,$0.01208,-8.68%,$3.04 M,$77.33 M
307,Liquity,$1.05,-7.32%,"$907,796",$76.47 M
308,Rakon,$0.3116,-6.63%,"$19,189",$75.69 M
309,Rari Governance Token,$6.04,-3.09%,"$459,290",$75.34 M
310,Hoo Token,$0.9079,+3.33%,$3.29 M,$74.84 M
311,WhiteCoin,$0.1001,-4.84%,$4.92 M,$74.47 M
312,RSK Infrastructure Framework,$0.08751,-2.54%,$1.38 M,$74.46 M
313,Perpetual Protocol,$0.9831,-10.29%,$15.8 M,$74.44 M
314,SOMESING,$0.02799,-6.54%,$1.42 M,$74.24 M
315,Aavegotchi,$1.47,-1.12%,$39.85 M,$74.21 M
316,Ergo,$2.31,-6.46%,"$867,499",$74.03 M
317,Bifrost (BFC),$0.06627,-4.41%,"$660,199",$73.59 M
318,Aurora,$2.13,-6.11%,$14.5 M,$73.28 M
319,Ark,$0.5368,-9.22%,$4.93 M,$72.79 M
320,Hyperion,$0.3564,-2.25%,$14,$72.62 M
321,SuperFarm,$0.1827,-7.30%,$9.12 M,$72.6 M
322,Prometeus,$4.36,-1.47%,$2.12 M,$71.69 M
323,Freeway Token,$0.0131,-19.33%,$1.2 M,$71.48 M
324,JOE,$0.2628,-11.67%,$5.97 M,$71.16 M
325,Centrifuge,$0.2691,-4.64%,"$141,994",$71.06 M
326,Polkastarter,$0.7703,+29.17%,$94.17 M,$71.01 M
327,Propy,$0.9463,-3.58%,$1.23 M,$70.44 M
328,iExec RLC,$0.8945,-6.48%,$5.16 M,$70.29 M
329,World Mobile Token,$0.2874,-9.34%,$1.2 M,$70.11 M
330,Telos,$0.2585,-3.04%,$7.14 M,$69.83 M
331,Band Protocol,$2.02,-10.70%,$151.81 M,$69.75 M
332,LUKSO,$4.53,-8.76%,"$459,598",$68.93 M
333,Verge,$0.004112,-5.72%,$3.35 M,$67.86 M
334,Sport and Leisure,$0.09996,-5.27%,N/A,$67.84 M
335,Origin Dollar,$0.9977,-0.15%,"$411,564",$67.71 M
336,Aragon,$1.70,-8.13%,$9.66 M,$67.45 M
337,ssv.network,$6.70,-6.86%,"$328,444",$67.05 M
338,ZEON,$0.002186,+0.66%,"$364,824",$66.75 M
339,NKN,$0.096,-6.81%,$6.56 M,$66.19 M
340,GlitzKoin,$0.2672,-0.28%,$2.08 M,$66.13 M
341,Alpha Finance Lab,$0.1493,-8.50%,$18.47 M,$65.46 M
342,Loom Network,$0.05033,-9.56%,$15.77 M,$65.42 M
342,Venus ETH,$68.96,+3.02%,N/A,$140.26 M
343,Dero,$5.20,-8.83%,"$253,557",$65.38 M
344,Numeraire,$11.28,-6.96%,$17.4 M,$65.29 M
345,Alchemy Pay,$0.01435,-4.21%,$8.72 M,$65.14 M
346,Orbit Chain,$0.1063,-7.14%,"$461,603",$64.13 M
347,GensoKishi Metaverse,$0.5752,-4.11%,"$887,491",$63.81 M
348,LCX,$0.08377,-1.42%,$6.22 M,$63.45 M
349,CertiK,$0.787,-8.65%,$7.67 M,$63.24 M
350,Boba Network,$0.3937,-6.70%,$2.48 M,$62.69 M
350,Decentral Games [Old],$318.84,+2.43%,"$108,134",$110.54 M
351,Radicle,$2.05,-8.43%,$4.85 M,$62.49 M
352,Adshares,$2.27,-2.46%,$1.19 M,$62.31 M
353,MOBOX,$0.761,-7.56%,$45.52 M,$60.77 M
354,SingularityNET,$0.05757,-4.63%,$2.08 M,$60.49 M
355,Metahero,$0.01215,-4.75%,$4.51 M,$60.44 M
356,Yield Guild Games,$0.5295,-7.02%,$12.58 M,$60.32 M
357,HI,$0.1192,-4.48%,$2.19 M,$60.02 M
358,BakeryToken,$0.3143,-10.66%,$54.56 M,$60 M
359,Celo Dollar,$0.9922,-0.32%,"$981,137",$59.97 M
360,dKargo,$0.05825,-6.88%,$5.6 M,$59.28 M
361,Badger DAO,$4.74,-8.76%,$5.12 M,$58.34 M
362,Venus BUSD,$0.02161,-0.02%,N/A,$58.22 M
363,Bluzelle,$0.1815,+3.86%,$107.45 M,$58.09 M
364,Klever,$0.01705,-11.43%,$29.44 M,$57.93 M
365,cVault.finance,"$5,787.17",-5.31%,"$12,050",$57.87 M
366,Veritaseum,$26.88,-18.28%,"$21,057",$57.79 M
367,Ampleforth,$1.02,-8.86%,$2.2 M,$57.54 M
368,ZB Token,$0.124,-3.20%,"$202,215",$57.46 M
369,MovieBloc,$0.004296,-12.32%,$72.4 M,$57.4 M
370,SafeMoon,$0.0000001017,-2.24%,"$25,971",$57.16 M
371,e-Radix,$0.07753,-3.22%,"$538,876",$56.97 M
372,Electroneum,$0.00318,-5.97%,"$62,102",$56.98 M
373,Venus,$4.72,-6.72%,$6.91 M,$56.86 M
374,Bella Protocol,$1.18,-8.37%,$103.54 M,$56.72 M
375,Ampleforth Governance Token,$3.85,+7.51%,$25.82 M,$56.63 M
376,Everipedia,$0.005726,-7.49%,$3.52 M,$56.52 M
377,HUNT,$0.5066,-7.28%,$5.73 M,$55.9 M
378,ThunderCore,$0.006058,-7.37%,$6.05 M,$55.07 M
379,Enzyme,$26.80,-3.84%,$4.52 M,$54.91 M
380,TomoChain,$0.6031,-8.31%,$10.61 M,$54.62 M
381,KardiaChain,$0.01533,-5.78%,"$746,566",$54.62 M
382,Vai,$0.9486,-0.23%,"$17,060",$54.54 M
383,Orion Protocol,$1.62,+1.93%,$13.88 M,$54.41 M
384,Beta Finance,$0.1198,-10.21%,$17.11 M,$54.37 M
385,Darma Cash,$0.2498,-0.02%,N/A,$54.36 M
386,Aleph.im,$0.2617,-0.22%,"$638,942",$54.12 M
387,API3,$1.49,-14.60%,$44.05 M,$53.67 M
388,ONUS,$0.5477,+0.54%,"$105,705",$53.52 M
389,Dusk Network,$0.1339,-10.77%,$6.58 M,$53.52 M
390,H2O Dao,$0.7999,+0.65%,$3.2 M,$53.33 M
391,Splintershards,$0.07413,-3.63%,"$790,155",$52.86 M
392,EFFORCE,$0.09973,-2.64%,"$648,292",$52.57 M
393,JasmyCoin,$0.01122,-8.24%,$112.59 M,$52.36 M
394,Anchor Protocol,$0.1472,+10.89%,$208 M,$51.79 M
395,Aergo,$0.1424,-11.31%,$5.61 M,$51.72 M
396,Proton,$0.004112,-2.77%,$3.93 M,$51.26 M
397,CENNZnet,$0.04266,-4.30%,"$227,098",$51.2 M
398,STAKE,$6.05,-0.39%,"$16,018",$51.16 M
399,Balancer,$7.46,-5.09%,$40.25 M,$50.98 M
400,Cratos,$0.001443,-3.02%,$5.56 M,$50.5 M
401,Mango,$0.05024,-3.04%,"$329,153",$50.24 M
402,Neutrino Token,$18.39,-2.43%,"$14,317",$50.02 M
403,Cocos-BCX,$0.7411,-5.96%,$7.72 M,$49.55 M
404,IDEX,$0.07597,+5.28%,$35.78 M,$49.44 M
405,Deeper Network,$0.03948,-1.35%,$1.18 M,$49.29 M
406,Mask Network,$1.71,-10.76%,$35.86 M,$48.82 M
407,Qcash,$0.106,-3.19%,$209.59 M,$48.78 M
